id,category,question,answer
1,orders,"How do I place an order?","Choose a product, add it to your cart, proceed to checkout, enter your delivery details, and complete the payment."
2,orders,"How can I check my order status?","Open My Orders in your account and select the order to view its current status and tracking information."
3,orders,"Can I change my order after placing it?","You can change an order only before it is packed. Contact customer support as soon as possible for assistance."
4,orders,"How do I cancel my order?","Go to My Orders, select the order, and choose Cancel Order. Cancellation may not be available after the order has shipped."
5,orders,"Why was my order cancelled?","An order may be cancelled because payment failed, the product became unavailable, or the delivery address could not be verified."
6,shipping,"How long does delivery take?","Standard delivery usually takes three to seven business days depending on your location and product availability."
7,shipping,"How can I track my package?","Open My Orders and select Track Package. You will also receive a tracking link by email or SMS after shipment."
8,shipping,"Do you offer free shipping?","Free shipping may be available when your order meets the minimum purchase amount shown during checkout."
9,shipping,"Do you deliver internationally?","International delivery is available only for supported countries. Enter your address at checkout to check availability and charges."
10,shipping,"What should I do if my delivery is late?","Check the tracking information first. If the estimated delivery date has passed, contact customer support with your order number."
11,shipping,"What happens if I miss my delivery?","The courier may attempt delivery again or contact you. Follow the tracking instructions to arrange redelivery or pickup."
12,payments,"What payment methods do you accept?","We accept major credit and debit cards, net banking, supported digital wallets, and cash on delivery where available."
13,payments,"Why did my payment fail?","Payment can fail because of incorrect details, insufficient funds, bank restrictions, or a temporary network issue. Retry or use another method."
14,payments,"Is cash on delivery available?","Cash on delivery is available for selected products and locations. Its availability will appear during checkout."
15,payments,"Is it safe to pay online?","Yes. Payments are processed through secure encrypted payment gateways, and complete card details are not stored by the store."
16,payments,"Can I use more than one payment method?","Only one payment method can normally be used per order unless a gift card or store credit option is provided."
17,returns,"What is your return policy?","Eligible products can usually be returned within the return period shown on the product page and order details."
18,returns,"How do I return a product?","Open My Orders, select the item, choose Return, provide a reason, and follow the pickup or shipping instructions."
19,returns,"Can I return a damaged product?","Yes. Request a return or replacement and upload clear photos of the damage if requested."
20,returns,"Which products cannot be returned?","Personalized, perishable, hygiene-sensitive, downloadable, and final-sale products may not be returnable."
21,returns,"Can I exchange a product?","Exchange is available for eligible products when the requested replacement is in stock. Otherwise, you can return the item for a refund."
22,refunds,"When will I receive my refund?","Refunds are usually processed after the returned item is received and inspected. Bank processing may take five to ten business days."
23,refunds,"Where will my refund be sent?","The refund is normally sent to the original payment method. Cash-on-delivery refunds may require bank account details."
24,refunds,"I was charged but my order was not placed. What should I do?","Wait for payment confirmation and check My Orders. Failed-order charges are usually reversed automatically within several business days."
25,account,"How do I create an account?","Select Sign Up, enter your name, email address or phone number, create a password, and verify your details."
26,account,"How do I reset my password?","Select Forgot Password on the login page and follow the reset link or verification code sent to your registered email or phone."
27,account,"How can I change my delivery address?","Open your account settings and edit Saved Addresses. For an existing order, changes are possible only before packing."
28,account,"Can I order without creating an account?","Guest checkout may be available. However, creating an account makes tracking orders and managing returns easier."
29,products,"How can I check whether a product is in stock?","The product page displays its availability. Select the required size, color, or variant to see the correct stock status."
30,products,"What should I do if I received the wrong item?","Request a return or replacement from My Orders, select Wrong Item Received as the reason, and keep the original packaging."
